No,Category,Guideline,指导方针,Description,描述,Do,推荐做法,Don't,不推荐做法,Code Good,良好代码,Code Bad,不良代码,Severity,Docs URL
1,路由 | Routing,Use App Router for new projects,新项目使用 App Router,App Router is the recommended approach in Next.js 14+,App Router 是 Next.js 14+ 推荐的方法,app/ directory with page.tsx,使用 app/ 目录和 page.tsx,pages/ for new projects,新项目使用 pages/,app/dashboard/page.tsx,app/dashboard/page.tsx,pages/dashboard.tsx,pages/dashboard.tsx,中等 | Medium,https://nextjs.org/docs/app
2,路由 | Routing,Use file-based routing,使用基于文件的路由,Create routes by adding files in app directory,通过在 app 目录添加文件创建路由,page.tsx for routes layout.tsx for layouts,路由使用 page.tsx 布局使用 layout.tsx,Manual route configuration,手动路由配置,app/blog/[slug]/page.tsx,app/blog/[slug]/page.tsx,Custom router setup,自定义路由设置,中等 | Medium,https://nextjs.org/docs/app/building-your-application/routing
3,路由 | Routing,Colocate related files,相关文件放在一起,Keep components styles tests with their routes,将组件、样式、测试与路由放在一起,Component files alongside page.tsx,组件文件与 page.tsx 放在一起,Separate components folder,独立的 components 文件夹,app/dashboard/_components/,app/dashboard/_components/,components/dashboard/,components/dashboard/,低 | Low,
4,路由 | Routing,Use route groups for organization,使用路由组进行组织,Group routes without affecting URL,分组路由而不影响 URL,Parentheses for route groups,使用圆括号创建路由组,Nested folders affecting URL,嵌套文件夹影响 URL,(marketing)/about/page.tsx,(marketing)/about/page.tsx,marketing/about/page.tsx,marketing/about/page.tsx,低 | Low,https://nextjs.org/docs/app/building-your-application/routing/route-groups
5,路由 | Routing,Handle loading states,处理加载状态,Use loading.tsx for route loading UI,使用 loading.tsx 显示路由加载 UI,loading.tsx alongside page.tsx,loading.tsx 与 page.tsx 放在一起,Manual loading state management,手动管理加载状态,app/dashboard/loading.tsx,app/dashboard/loading.tsx,useState for loading in page,页面中使用 useState 管理加载,中等 | Medium,https://nextjs.org/docs/app/building-your-application/routing/loading-ui-and-streaming
6,路由 | Routing,Handle errors with error.tsx,使用 error.tsx 处理错误,Catch errors at route level,在路由级别捕获错误,error.tsx with reset function,使用带 reset 函数的 error.tsx,try/catch in every component,每个组件使用 try/catch,app/dashboard/error.tsx,app/dashboard/error.tsx,try/catch in page component,页面组件中使用 try/catch,高 | High,https://nextjs.org/docs/app/building-your-application/routing/error-handling
7,渲染 | Rendering,Use Server Components by default,默认使用服务端组件,Server Components reduce client JS bundle,服务端组件减少客户端 JS 包大小,Keep components server by default,默认保持组件为服务端组件,Add 'use client' unnecessarily,不必要地添加 'use client',export default function Page(),export default function Page(),('use client') for static content,静态内容使用 ('use client'),高 | High,https://nextjs.org/docs/app/building-your-application/rendering/server-components
8,渲染 | Rendering,Mark Client Components explicitly,明确标记客户端组件,'use client' for interactive components,交互组件使用 'use client',Add 'use client' only when needed,仅在需要时添加 'use client',Server Component with hooks/events,服务端组件使用 hooks/事件,('use client') for onClick useState,onClick 和 useState 使用 ('use client'),No directive with useState,使用 useState 不加指令,高 | High,https://nextjs.org/docs/app/building-your-application/rendering/client-components
9,渲染 | Rendering,Push Client Components down,将客户端组件下推,Keep Client Components as leaf nodes,保持客户端组件为叶子节点,Client wrapper for interactive parts only,仅交互部分使用客户端包装器,Mark page as Client Component,将页面标记为客户端组件,<InteractiveButton/> in Server Page,服务端页面中使用 <InteractiveButton/>,('use client') on page.tsx,page.tsx 使用 ('use client'),高 | High,
10,渲染 | Rendering,Use streaming for better UX,使用流式传输提升用户体验,Stream content with Suspense boundaries,使用 Suspense 边界流式传输内容,Suspense for slow data fetches,慢数据获取使用 Suspense,Wait for all data before render,渲染前等待所有数据,<Suspense><SlowComponent/></Suspense>,<Suspense><SlowComponent/></Suspense>,await allData then render,await allData 然后渲染,中等 | Medium,https://nextjs.org/docs/app/building-your-application/routing/loading-ui-and-streaming
11,渲染 | Rendering,Choose correct rendering strategy,选择正确的渲染策略,SSG for static SSR for dynamic ISR for semi-static,静态用 SSG 动态用 SSR 半静态用 ISR,generateStaticParams for known paths,已知路径使用 generateStaticParams,SSR for static content,静态内容使用 SSR,export const revalidate = 3600,export const revalidate = 3600,fetch without cache config,fetch 无缓存配置,中等 | Medium,
12,数据获取 | DataFetching,Fetch data in Server Components,在服务端组件中获取数据,Fetch directly in async Server Components,在异步服务端组件中直接获取,async function Page() { const data = await fetch() },async function Page() { const data = await fetch() },useEffect for initial data,初始数据使用 useEffect,const data = await fetch(url),const data = await fetch(url),useEffect(() => fetch(url)),useEffect(() => fetch(url)),高 | High,https://nextjs.org/docs/app/building-your-application/data-fetching
13,数据获取 | DataFetching,Configure caching explicitly (Next.js 15+),明确配置缓存 (Next.js 15+),Next.js 15 changed defaults to uncached for fetch,Next.js 15 将 fetch 默认改为不缓存,Explicitly set cache: 'force-cache' for static data,静态数据明确设置 cache: 'force-cache',Assume default is cached (it's not in Next.js 15),假设默认缓存 (Next.js 15 中不是),fetch(url { cache: 'force-cache' }),fetch(url { cache: 'force-cache' }),fetch(url) // Uncached in v15,fetch(url) // v15 中不缓存,高 | High,https://nextjs.org/docs/app/building-your-application/upgrading/version-15
14,数据获取 | DataFetching,Deduplicate fetch requests,去重 fetch 请求,React and Next.js dedupe same requests,React 和 Next.js 自动去重相同请求,Same fetch call in multiple components,多个组件中相同的 fetch 调用,Manual request deduplication,手动去重请求,Multiple components fetch same URL,多个组件获取相同 URL,Custom cache layer,自定义缓存层,低 | Low,
15,数据获取 | DataFetching,Use Server Actions for mutations,数据变更使用 Server Actions,Server Actions for form submissions,表单提交使用 Server Actions,action={serverAction} in forms,表单中使用 action={serverAction},API route for every mutation,每个变更都创建 API 路由,<form action={createPost}>,<form action={createPost}>,<form onSubmit={callApiRoute}>,<form onSubmit={callApiRoute}>,中等 | Medium,https://nextjs.org/docs/app/building-your-application/data-fetching/server-actions-and-mutations
16,数据获取 | DataFetching,Revalidate data appropriately,适当地重新验证数据,Use revalidatePath/revalidateTag after mutations,变更后使用 revalidatePath/revalidateTag,Revalidate after Server Action,Server Action 后重新验证,'use client' with manual refetch,使用 'use client' 手动重新获取,revalidatePath('/posts'),revalidatePath('/posts'),router.refresh() everywhere,到处使用 router.refresh(),中等 | Medium,https://nextjs.org/docs/app/building-your-application/caching#revalidating
17,图片 | Images,Use next/image for optimization,优化使用 next/image,Automatic image optimization and lazy loading,自动图片优化和懒加载,<Image> component for all images,所有图片使用 <Image> 组件,<img> tags directly,直接使用 <img> 标签,<Image src={} alt={} width={} height={}>,<Image src={} alt={} width={} height={}>,<img src={}/>,<img src={}/>,高 | High,https://nextjs.org/docs/app/building-your-application/optimizing/images
18,图片 | Images,Provide width and height,提供宽度和高度,Prevent layout shift with dimensions,使用尺寸防止布局偏移,width and height props or fill,width 和 height 属性或 fill,Missing dimensions,缺少尺寸,<Image width={400} height={300}/>,<Image width={400} height={300}/>,<Image src={url}/>,<Image src={url}/>,高 | High,
