No,Category,Guideline,指导方针,Description,描述,Do,推荐做法,Don't,不推荐做法,Code Good,良好代码,Code Bad,不良代码,Severity,Docs URL
1,路由 | Routing,Use file-based routing,使用基于文件的路由,Create routes by adding files in pages directory,通过在 pages 目录添加文件创建路由,pages/ directory with index.vue,使用 pages/ 目录和 index.vue,Manual route configuration,手动路由配置,pages/dashboard/index.vue,pages/dashboard/index.vue,Custom router setup,自定义路由设置,中等 | Medium,https://nuxt.com/docs/getting-started/routing
2,路由 | Routing,Use dynamic route parameters,使用动态路由参数,Create dynamic routes with bracket syntax,使用方括号语法创建动态路由,[id].vue for dynamic params,动态参数使用 [id].vue,Hardcoded routes for dynamic content,动态内容使用硬编码路由,pages/posts/[id].vue,pages/posts/[id].vue,pages/posts/post1.vue,pages/posts/post1.vue,中等 | Medium,https://nuxt.com/docs/getting-started/routing
3,路由 | Routing,Use catch-all routes,使用捕获所有路由,Handle multiple path segments with [...slug],使用 [...slug] 处理多个路径段,[...slug].vue for catch-all,捕获所有路由使用 [...slug].vue,Multiple nested dynamic routes,多个嵌套动态路由,pages/[...slug].vue,pages/[...slug].vue,pages/[a]/[b]/[c].vue,pages/[a]/[b]/[c].vue,低 | Low,https://nuxt.com/docs/getting-started/routing
4,路由 | Routing,Define page metadata with definePageMeta,使用 definePageMeta 定义页面元数据,Set page-level configuration and middleware,设置页面级配置和中间件,definePageMeta for layout middleware title,使用 definePageMeta 设置布局、中间件、标题,Manual route meta configuration,手动路由元数据配置,"definePageMeta({ layout: 'admin', middleware: 'auth' })","definePageMeta({ layout: 'admin', middleware: 'auth' })",router.beforeEach for page config,使用 router.beforeEach 设置页面配置,高 | High,https://nuxt.com/docs/api/utils/define-page-meta
5,路由 | Routing,Use validate for route params,使用 validate 验证路由参数,Validate dynamic route parameters before rendering,渲染前验证动态路由参数,validate function in definePageMeta,在 definePageMeta 中使用 validate 函数,Manual validation in setup,在 setup 中手动验证,"definePageMeta({ validate: (route) => /^\d+$/.test(route.params.id) })","definePageMeta({ validate: (route) => /^\d+$/.test(route.params.id) })",if (!valid) navigateTo('/404'),if (!valid) navigateTo('/404'),中等 | Medium,https://nuxt.com/docs/api/utils/define-page-meta
6,渲染 | Rendering,Use SSR by default,默认使用 SSR,Server-side rendering is enabled by default,服务端渲染默认启用,Keep ssr: true (default),保持 ssr: true (默认),Disable SSR unnecessarily,不必要地禁用 SSR,ssr: true (default),ssr: true (默认),ssr: false for all pages,所有页面使用 ssr: false,高 | High,https://nuxt.com/docs/guide/concepts/rendering
7,渲染 | Rendering,Use .client suffix for client-only components,客户端组件使用 .client 后缀,Mark components to render only on client,标记仅在客户端渲染的组件,ComponentName.client.vue suffix,使用 ComponentName.client.vue 后缀,v-if with process.client check,使用 v-if 和 process.client 检查,Comments.client.vue,Comments.client.vue,<div v-if="process.client"><Comments/></div>,<div v-if="process.client"><Comments/></div>,中等 | Medium,https://nuxt.com/docs/guide/directory-structure/components
8,渲染 | Rendering,Use .server suffix for server-only components,服务端组件使用 .server 后缀,Mark components to render only on server,标记仅在服务端渲染的组件,ComponentName.server.vue suffix,使用 ComponentName.server.vue 后缀,Manual server check,手动服务端检查,HeavyMarkdown.server.vue,HeavyMarkdown.server.vue,v-if="process.server",v-if="process.server",低 | Low,https://nuxt.com/docs/guide/directory-structure/components
9,数据获取 | DataFetching,Use useFetch for simple data fetching,简单数据获取使用 useFetch,Wrapper around useAsyncData for URL fetching,useAsyncData 的 URL 请求包装器,useFetch for API calls,API 调用使用 useFetch,$fetch in onMounted,在 onMounted 中使用 $fetch,"const { data } = await useFetch('/api/posts')","const { data } = await useFetch('/api/posts')","onMounted(async () => { data.value = await $fetch('/api/posts') })","onMounted(async () => { data.value = await $fetch('/api/posts') })",高 | High,https://nuxt.com/docs/api/composables/use-fetch
10,数据获取 | DataFetching,Use useAsyncData for complex fetching,复杂获取使用 useAsyncData,Fine-grained control over async data,对异步数据的精细控制,useAsyncData for CMS or custom fetching,CMS 或自定义获取使用 useAsyncData,useFetch for non-URL data sources,非 URL 数据源使用 useFetch,"const { data } = await useAsyncData('posts', () => cms.getPosts())","const { data } = await useAsyncData('posts', () => cms.getPosts())","const { data } = await useFetch(() => cms.getPosts())","const { data } = await useFetch(() => cms.getPosts())",中等 | Medium,https://nuxt.com/docs/api/composables/use-async-data
