No,Category,Guideline,指导方针,Description,描述,Do,推荐做法,Don't,不推荐做法,Code Good,良好代码,Code Bad,不良代码,Severity,Docs URL
1,状态 | State,Use useState for local state,本地状态使用 useState,Simple component state should use useState hook,简单组件状态应使用 useState hook,useState for form inputs toggles counters,表单输入、开关、计数器使用 useState,Class components this.state,类组件 this.state,"const [count, setCount] = useState(0)","const [count, setCount] = useState(0)",this.state = { count: 0 },this.state = { count: 0 },中等 | Medium,https://react.dev/reference/react/useState
2,状态 | State,Lift state up when needed,需要时提升状态,Share state between siblings by lifting to parent,通过提升到父组件在兄弟组件间共享状态,Lift shared state to common ancestor,将共享状态提升到公共祖先,Prop drilling through many levels,通过多层级传递 props,Parent holds state passes down,父组件持有状态并向下传递,Deep prop chains,深层级 prop 链,中等 | Medium,https://react.dev/learn/sharing-state-between-components
3,状态 | State,Use useReducer for complex state,复杂状态使用 useReducer,Complex state logic benefits from reducer pattern,复杂状态逻辑受益于 reducer 模式,useReducer for state with multiple sub-values,多个子值的状态使用 useReducer,Multiple useState for related values,相关值使用多个 useState,useReducer with action types,useReducer 配合 action 类型,5+ useState calls that update together,5+ 个一起更新的 useState 调用,中等 | Medium,https://react.dev/reference/react/useReducer
4,状态 | State,Avoid unnecessary state,避免不必要的状态,Derive values from existing state when possible,尽可能从现有状态派生值,Compute derived values in render,在 render 中计算派生值,Store derivable values in state,将可派生值存储在状态中,const total = items.reduce(...),const total = items.reduce(...),"const [total, setTotal] = useState(0)","const [total, setTotal] = useState(0)",高 | High,https://react.dev/learn/choosing-the-state-structure
5,状态 | State,Initialize state lazily,懒初始化状态,Use function form for expensive initial state,昂贵的初始状态使用函数形式,useState(() => computeExpensive()),useState(() => computeExpensive()),useState(computeExpensive()),useState(computeExpensive()),useState(() => JSON.parse(data)),useState(() => JSON.parse(data)),useState(JSON.parse(data)),useState(JSON.parse(data)),中等 | Medium,https://react.dev/reference/react/useState#avoiding-recreating-the-initial-state
6,副作用 | Effects,Clean up effects,清理副作用,Return cleanup function for subscriptions timers,订阅和定时器返回清理函数,Return cleanup function in useEffect,在 useEffect 中返回清理函数,No cleanup for subscriptions,订阅无清理,useEffect(() => { sub(); return unsub; }),useEffect(() => { sub(); return unsub; }),useEffect(() => { subscribe(); }),useEffect(() => { subscribe(); }),高 | High,https://react.dev/reference/react/useEffect#connecting-to-an-external-system
7,副作用 | Effects,Specify dependencies correctly,正确指定依赖项,Include all values used inside effect in deps array,将 effect 内使用的所有值包含在依赖数组中,All referenced values in dependency array,所有引用的值放入依赖数组,Empty deps with external references,使用外部引用时空依赖,[value] when using value in effect,effect 中使用 value 时依赖 [value],[] when using props/state in effect,effect 中使用 props/state 时依赖 [],高 | High,https://react.dev/reference/react/useEffect#specifying-reactive-dependencies
8,副作用 | Effects,Avoid unnecessary effects,避免不必要的副作用,Don't use effects for transforming data or events,不要用 effects 转换数据或处理事件,Transform data during render handle events directly,在渲染时转换数据直接处理事件,useEffect for derived state or event handling,派生状态或事件处理使用 useEffect,const filtered = items.filter(...),const filtered = items.filter(...),useEffect(() => setFiltered(items.filter(...))),useEffect(() => setFiltered(items.filter(...))),高 | High,https://react.dev/learn/you-might-not-need-an-effect
9,副作用 | Effects,Use refs for non-reactive values,非响应式值使用 refs,Store values that don't trigger re-renders in refs,将不触发重新渲染的值存储在 refs 中,useRef for interval IDs DOM elements,interval ID 和 DOM 元素使用 useRef,useState for values that don't need render,不需要触发渲染的值使用 useState,const intervalRef = useRef(null),const intervalRef = useRef(null),"const [intervalId, setIntervalId] = useState()","const [intervalId, setIntervalId] = useState()",中等 | Medium,https://react.dev/reference/react/useRef
10,渲染 | Rendering,Use keys properly,正确使用 keys,Stable unique keys for list items,列表项使用稳定的唯一 keys,Use stable IDs as keys,使用稳定的 ID 作为 keys,Array index as key for dynamic lists,动态列表使用数组索引作为 key,key={item.id},key={item.id},key={index},key={index},高 | High,https://react.dev/learn/rendering-lists#keeping-list-items-in-order-with-key
