No,Category,Guideline,指导方针,Description,描述,Do,推荐做法,Don't,不推荐做法,Code Good,良好代码,Code Bad,不良代码,Severity,Docs URL
1,安装 | Setup,Use CLI for installation,安装使用 CLI,Install components via shadcn CLI for proper setup,通过 shadcn CLI 安装组件以正确设置,npx shadcn@latest add component-name,npx shadcn@latest add component-name,Manual copy-paste from docs,从文档手动复制粘贴,npx shadcn@latest add button,npx shadcn@latest add button,Copy component code manually,手动复制组件代码,高 | High,https://ui.shadcn.com/docs/cli
2,安装 | Setup,Initialize project properly,正确初始化项目,Run init command to set up components.json and globals.css,运行 init 命令设置 components.json 和 globals.css,npx shadcn@latest init before adding components,添加组件前运行 npx shadcn@latest init,Skip init and add components directly,跳过 init 直接添加组件,npx shadcn@latest init,npx shadcn@latest init,npx shadcn@latest add button (without init),npx shadcn@latest add button (未 init),高 | High,https://ui.shadcn.com/docs/installation
3,安装 | Setup,Configure path aliases,配置路径别名,Set up proper import aliases in tsconfig and components.json,在 tsconfig 和 components.json 中设置正确的导入别名,Use @/components/ui path aliases,使用 @/components/ui 路径别名,Relative imports like ../../components,使用 ../../components 相对导入,import { Button } from "@/components/ui/button",import { Button } from "@/components/ui/button",import { Button } from "../../components/ui/button",import { Button } from "../../components/ui/button",中等 | Medium,https://ui.shadcn.com/docs/installation
4,主题 | Theming,Use CSS variables for colors,颜色使用 CSS 变量,Define colors as CSS variables in globals.css for theming,在 globals.css 中定义 CSS 变量实现主题,CSS variables in :root and .dark,在 :root 和 .dark 中使用 CSS 变量,Hardcoded color values in components,组件中硬编码颜色值,bg-primary text-primary-foreground,bg-primary text-primary-foreground,bg-blue-500 text-white,bg-blue-500 text-white,高 | High,https://ui.shadcn.com/docs/theming
5,主题 | Theming,Follow naming convention,遵循命名约定,Use semantic color names with foreground pattern,使用语义化颜色名配合 foreground 模式,primary/primary-foreground secondary/secondary-foreground,primary/primary-foreground secondary/secondary-foreground,Generic color names,通用颜色名,--primary --primary-foreground,--primary --primary-foreground,--blue --light-blue,--blue --light-blue,中等 | Medium,https://ui.shadcn.com/docs/theming
6,主题 | Theming,Support dark mode,支持深色模式,Include .dark class styles for all custom CSS,为所有自定义 CSS 包含 .dark 类样式,Define both :root and .dark color schemes,定义 :root 和 .dark 颜色方案,Only light mode colors,仅浅色模式颜色,.dark { --background: 240 10% 3.9%; },.dark { --background: 240 10% 3.9%; },No .dark class styles,无 .dark 类样式,高 | High,https://ui.shadcn.com/docs/dark-mode
7,组件 | Components,Use component variants,使用组件变体,Leverage cva variants for consistent styling,利用 cva 变体实现一致样式,Use variant prop for different styles,使用 variant 属性设置不同样式,Inline conditional classes,内联条件类,<Button variant="destructive">,<Button variant="destructive">,<Button className={isError ? "bg-red-500" : "bg-blue-500"}>,<Button className={isError ? "bg-red-500" : "bg-blue-500"}>,中等 | Medium,https://ui.shadcn.com/docs/components/button
8,组件 | Components,Compose with className,使用 className 组合,Add custom classes via className prop for overrides,通过 className 属性添加自定义类覆盖,Extend with className for one-off customizations,一次性自定义使用 className 扩展,Modify component source directly,直接修改组件源代码,<Button className="w-full">,<Button className="w-full">,Edit button.tsx to add w-full,编辑 button.tsx 添加 w-full,中等 | Medium,https://ui.shadcn.com/docs/components/button
9,组件 | Components,Use size variants consistently,一致使用 size 变体,Apply size prop for consistent sizing across components,跨组件使用 size 属性实现一致尺寸,size="sm" size="lg" for sizing,尺寸使用 size="sm" size="lg",Mix size classes inconsistently,尺寸类混用不一致,<Button size="lg">,<Button size="lg">,<Button className="text-lg px-8 py-4">,<Button className="text-lg px-8 py-4">,中等 | Medium,https://ui.shadcn.com/docs/components/button
10,组件 | Components,Prefer compound components,优先使用复合组件,Use provided sub-components for complex UI,复杂 UI 使用提供的子组件,Card + CardHeader + CardContent pattern,使用 Card + CardHeader + CardContent 模式,Single component with many props,单个组件多个 props,<Card><CardHeader><CardTitle>,<Card><CardHeader><CardTitle>,<Card title="x" content="y" footer="z">,<Card title="x" content="y" footer="z">,中等 | Medium,https://ui.shadcn.com/docs/components/card
