No,Category,Guideline,指导方针,Description,描述,Do,推荐做法,Don't,不推荐做法,Code Good,良好代码,Code Bad,不良代码,Severity,Docs URL
1,动画 | Animation,Use Tailwind animate utilities,使用 Tailwind 动画工具类,Built-in animations are optimized and respect reduced-motion,内置动画已优化且遵循减少运动偏好,Use animate-pulse animate-spin animate-ping,使用 animate-pulse、animate-spin、animate-ping,Custom @keyframes for simple effects,为简单效果自定义 @keyframes,animate-pulse,animate-pulse,@keyframes pulse {...},@keyframes pulse {...},中等 | Medium,https://tailwindcss.com/docs/animation
2,动画 | Animation,Limit bounce animations,限制弹跳动画,Continuous bounce is distracting and causes motion sickness,持续弹跳会分散注意力并引发晕动症,Use animate-bounce sparingly on CTAs only,仅在 CTA 上谨慎使用 animate-bounce,Multiple bounce animations on page,页面上多个弹跳动画,Single CTA with animate-bounce,单个 CTA 使用 animate-bounce,5+ elements with animate-bounce,5+ 个元素使用 animate-bounce,高 | High,
3,动画 | Animation,Transition duration,过渡时长,Use appropriate transition speeds for UI feedback,为 UI 反馈使用适当的过渡速度,duration-150 to duration-300 for UI,UI 使用 duration-150 到 duration-300,duration-1000 or longer for UI elements,UI 元素使用 duration-1000 或更长,transition-all duration-200,transition-all duration-200,transition-all duration-1000,transition-all duration-1000,中等 | Medium,https://tailwindcss.com/docs/transition-duration
4,动画 | Animation,Hover transitions,hover 过渡,Add smooth transitions on hover state changes,在 hover 状态变化时添加平滑过渡,Add transition class with hover states,为 hover 状态添加 transition 类,Instant hover changes without transition,没有过渡的即时 hover 变化,hover:bg-gray-100 transition-colors,hover:bg-gray-100 transition-colors,hover:bg-gray-100 (no transition),hover:bg-gray-100 (无过渡),低 | Low,
5,层级 | Z-Index,Use Tailwind z-* scale,使用 Tailwind z-* 层级,Consistent stacking context with predefined scale,使用预定义层级保持一致的堆叠上下文,z-0 z-10 z-20 z-30 z-40 z-50,使用 z-0 z-10 z-20 z-30 z-40 z-50,Arbitrary z-index values,任意 z-index 值,z-50 for modals,模态框使用 z-50,z-[9999],z-[9999],中等 | Medium,https://tailwindcss.com/docs/z-index
6,层级 | Z-Index,Fixed elements z-index,固定元素的 z-index,Fixed navigation and modals need explicit z-index,固定导航和模态框需要明确的 z-index,z-50 for nav z-40 for dropdowns,导航使用 z-50 下拉菜单使用 z-40,Relying on DOM order for stacking,依赖 DOM 顺序进行堆叠,fixed top-0 z-50,fixed top-0 z-50,fixed top-0 (no z-index),fixed top-0 (无 z-index),高 | High,
7,层级 | Z-Index,Negative z-index for backgrounds,背景使用负 z-index,Use negative z-index for decorative backgrounds,装饰性背景使用负 z-index,z-[-1] for background elements,背景元素使用 z-[-1],Positive z-index for backgrounds,背景使用正 z-index,-z-10 for decorative,-z-10 用于装饰,z-10 for background,背景使用 z-10,低 | Low,
8,布局 | Layout,Container max-width,容器最大宽度,Limit content width for readability,限制内容宽度以提高可读性,max-w-7xl mx-auto for main content,主要内容使用 max-w-7xl mx-auto,Full-width content on large screens,大屏幕上全宽内容,max-w-7xl mx-auto px-4,max-w-7xl mx-auto px-4,w-full (no max-width),w-full (无最大宽度),中等 | Medium,https://tailwindcss.com/docs/container
9,布局 | Layout,Responsive padding,响应式内边距,Adjust padding for different screen sizes,为不同屏幕尺寸调整内边距,px-4 md:px-6 lg:px-8,使用 px-4 md:px-6 lg:px-8,Same padding all sizes,所有尺寸使用相同内边距,px-4 sm:px-6 lg:px-8,px-4 sm:px-6 lg:px-8,px-8 (same all sizes),px-8 (所有尺寸相同),中等 | Medium,
10,布局 | Layout,Grid gaps,网格间距,Use consistent gap utilities for spacing,使用一致的 gap 工具类设置间距,gap-4 gap-6 gap-8,使用 gap-4 gap-6 gap-8,Margins on individual items,在单个项目上使用 margin,grid gap-6,grid gap-6,grid with mb-4 on each item,grid 中每个项目使用 mb-4,中等 | Medium,https://tailwindcss.com/docs/gap
11,布局 | Layout,Flexbox alignment,弹性盒对齐,Use flex utilities for alignment,使用 flex 工具类进行对齐,items-center justify-between,使用 items-center justify-between,Multiple nested wrappers,多层嵌套容器,flex items-center justify-between,flex items-center justify-between,Nested divs for alignment,使用嵌套 div 进行对齐,低 | Low,
12,图片 | Images,Aspect ratio,宽高比,Maintain consistent image aspect ratios,保持一致的图片宽高比,aspect-video aspect-square,使用 aspect-video aspect-square,No aspect ratio on containers,容器上无宽高比,aspect-video rounded-lg,aspect-video rounded-lg,No aspect control,无宽高比控制,中等 | Medium,https://tailwindcss.com/docs/aspect-ratio
13,图片 | Images,Object fit,对象适配,Control image scaling within containers,控制容器内的图片缩放,object-cover object-contain,使用 object-cover object-contain,Stretched distorted images,拉伸变形的图片,object-cover w-full h-full,object-cover w-full h-full,No object-fit,无 object-fit,中等 | Medium,https://tailwindcss.com/docs/object-fit
14,图片 | Images,Lazy loading,延迟加载,Defer loading of off-screen images,延迟加载屏幕外的图片,loading='lazy' on images,图片使用 loading='lazy',All images eager load,所有图片立即加载,<img loading='lazy'>,<img loading='lazy'>,<img> without lazy,<img> 无延迟加载,高 | High,
